order_date,product_id,predicted_demand
2018-05-06,008cff0e5792219fae03e570f980b330,1.9774642
2018-05-06,01217a683550744160a91eaa46a92305,1.6968164
2018-05-06,016711f78a6a87696645db0a6a834826,2.8164396
2018-05-06,01a5038835acf17f141c7247956b72d6,1.0120971
2018-05-06,02f8dd9b448d3ec2c73e65a22da1121c,0.90146714
2018-05-06,03aad9707028422f38b0563410912177,4.6073985
2018-05-06,03e9fcb7adffd8c9e14285c979ea59c9,0.8319426
2018-05-06,044f05bc9de36e8a693a83e4bc79dd0d,2.0872357
2018-05-06,045da764883d50dc071cc70c81226cbc,0.7512802
2018-05-06,04ca6bf4b3d9aa78046f0973efe2f4b1,0.88500595
2018-05-06,04caadc7ea07eadcaa8513b4f6ecd8ec,0.8284281
2018-05-06,052413504e5295cd66ec4ced0b310062,3.2358093
2018-05-06,05a9dadb8402b6b7ae3dd28f7da187b5,2.3501437
2018-05-06,060f0122cdc8f25db4a0d7359fdae7b0,2.4613633
2018-05-06,0661920a7a5f19746f501d1190888270,0.994716
2018-05-06,06dce482ace017e78349b6f1fa83a022,1.5790089
2018-05-06,06edb72f1e0c64b14c5b79353f7abea3,11.051959
2018-05-06,06f2166336faca73c644b11eaca22d06,1.7779702
2018-05-06,077599a82ee54960bc4f4c941b0d1359,1.4757106
2018-05-06,07a446d7cf0e22333d2032294c408cca,0.94668233
2018-05-06,07a949f27854f64558f8babcfec441cc,3.1055522
2018-05-06,07ffc018eaf23e086370dea42c74077b,0.76495326
2018-05-06,0983cd4a5cabf1099659ce461511963c,1.604431
2018-05-06,0aabfb375647d9738ad0f7b4ea3653b1,13.731758
2018-05-06,0bbdc963004d9b2fd3427ee3c5ae3608,3.3575852
2018-05-06,0bdd9a52d192d64770e33ae559512478,1.5095286
2018-05-06,0c7ec2b24166d57ac38a9db523711782,2.8736477
2018-05-06,0cd1e5169a1ba33d42fc9f76345a4504,0.76593053
2018-05-06,0cf41187284d7f099adc8415a743ebbd,1.8344635
2018-05-06,0df95ac688e582eb91f23b4b3ffe7ee8,0.74694675
2018-05-06,10070e29929f7c7d609ee3201f236b8e,2.1986508
2018-05-06,103cc8c441a717d9a54fca312ae8ec3c,1.4763831
2018-05-06,10717ff440b2320081989126e858b220,5.1460123
2018-05-06,11fd9d7ba552e1d28872e008acf1e050,3.2241025
2018-05-06,12f066474dfa3c415c169051c5e1967e,3.3848717
2018-05-06,134957eeec87be2414ac629ee0b947a4,2.1156955
2018-05-06,134a6fc4a713a799266ebd6a4f4008d4,4.3643093
2018-05-06,1427b126f61597524866770b05d4eed2,2.238977
2018-05-06,143f3709e0b16bb2f1f5737e74ec15bc,0.83205605
2018-05-06,154e7e31ebfa092203795c972e5804a6,3.9248087
2018-05-06,1613b819ab5dae53aead2dbb4ebdb378,6.2957196
2018-05-06,163e6400e6dadd0fe04775c5e9331fda,2.200331
2018-05-06,16c4e87b98a9370a9cbc3a4658a3f45b,1.1655053
2018-05-06,173e9fe34bfe97f3a5e6dc57fe897b74,29.000208
2018-05-06,1743a97176a0bff38a65331fae2306af,0.9631037
2018-05-06,177d3d5bb9d4d29222a222e3b3554f41,1.832434
2018-05-06,189f163ac190749c553a4835c22aa3a8,1.4030151
2018-05-06,19421075ae0b585f2dc13ff149e2119d,6.214295
2018-05-06,19c91ef95d509ea33eda93495c4d3481,39.561832
2018-05-06,1a0971a6f39f04118207a7308d451e9d,1.0949637
2018-05-06,1a405418406359cc2b8815f93bf359c2,3.2083602
2018-05-06,1b7b45fba5ad23e8117914f8b36e6772,1.6504608
2018-05-06,1cac29154057b66c1cfcb6ff58e2fdbf,0.9657301
2018-05-06,1cc61b32763a4d816212b3507b6b6c59,1.6209222
2018-05-06,1d974de82e60d653a2d1cc79984dcec8,1.45375
2018-05-06,1dec4c88c685d5a07bf01dcb0f8bf9f8,2.1627467
2018-05-06,1dfb36d969d347f56f43590ec42c7b8c,1.4028851
2018-05-06,1fcf5e0632e4af48ee4956c82c8fff3b,0.722649
2018-05-06,2043cae78c8b731c405c7329a05154b2,1.3929312
2018-05-06,20531b0644a0719b8d506c4db3c56609,3.8361294
2018-05-06,21767347dfdabbe42b3ca5846a4cdb48,0.89304036
2018-05-06,21ee06f7fd37a6fe4841865339411674,3.588411
2018-05-06,220bc6afbb138c2e99fffc0f9838afd4,0.8935007
2018-05-06,22234a1dd91ce8e88c7b108d198c40ad,1.5150363
2018-05-06,226be9996759442f90f73b7d24c6baff,6.492545
2018-05-06,232906919fb046e3d050f8dd336b2634,9.003827
2018-05-06,25437c6ccd9cdc28db375f821881224f,0.85150003
2018-05-06,26b2a480ced2900a62bb9431133e95aa,2.1191807
2018-05-06,27855ab0b06ec76e035b2df0aefb5f39,0.9512457
2018-05-06,27c0cea4dc76549f5bd124d9cad0ae3b,1.0143362
2018-05-06,27fdfad2c6a8f91606eb41ea396785c6,1.590581
2018-05-06,2848023ffcfb063bb7aa0d0c447bd116,1.2409579
2018-05-06,286bcf62e47dfc1e51cf0d525bd4d1bf,2.1348748
2018-05-06,28b4eced95a52d9c437a4caf9d311b95,2.8460186
2018-05-06,2a27bdf5d36c733df107a86e44370254,3.1915116
2018-05-06,2ac5c215e10e7251979c895510de4121,0.7145131
2018-05-06,2b4042dfabc3fe9d3f16951a8e1a3b70,1.421846
2018-05-06,2c0c951471371afa81e47d7bf8d20522,1.9961693
2018-05-06,2ccd049c8e7ea210e079a1aa8ad92477,1.4176028
2018-05-06,2daba1ba2b585317701770c97f0a3c0b,1.0088035
2018-05-06,2f20a2013902657c0800ddf524514e4e,0.93445385
2018-05-06,2fd89f236e3e8f4b81b7b74f09f40186,1.6917214
